"name","ucnt","sum","ds","server","channel"
"cdkey","4","1038","2014-11-11","s1","appstore"
"充值奖励","9","7789","2014-11-11","s1","appstore"
"八阵图奖励","17","650","2014-11-11","s1","appstore"
"升级奖励","49","980","2014-11-11","s1","appstore"
"升级活动奖励","25","10030","2014-11-11","s1","appstore"
"名山寻宝","14","340","2014-11-11","s1","appstore"
"小宝赠宝获取奖励","192","4255","2014-11-11","s1","appstore"
"每日登录送元宝","53","265","2014-11-11","s1","appstore"
"签到累计奖励","6","600","2014-11-11","s1","appstore"
"系统消息附带的奖励","219","29580","2014-11-11","s1","appstore"
"紫禁宝匣开出元宝","91","715","2014-11-11","s1","appstore"
"血战奖励","274","17379","2014-11-11","s1","appstore"
"财源滚滚得到元宝","6","1422","2014-11-11","s1","appstore"
"首次充值奖励","10","3170","2014-11-11","s1","appstore"
"首次充值奖励翻倍","9","23780","2014-11-11","s1","appstore"
"cdkey","1","200","2014-11-11","s10","appstore"
"八阵图奖励","5","280","2014-11-11","s10","appstore"
"升级奖励","14","230","2014-11-11","s10","appstore"
"升级活动奖励","5","1170","2014-11-11","s10","appstore"
"名山寻宝","2","40","2014-11-11","s10","appstore"
"小宝赠宝获取奖励","72","1720","2014-11-11","s10","appstore"
"每日登录送元宝","20","100","2014-11-11","s10","appstore"
"献花奖励","191","382","2014-11-11","s10","appstore"
"签到累计奖励","7","700","2014-11-11","s10","appstore"
"系统消息附带的奖励","161","24225","2014-11-11","s10","appstore"
"紫禁宝匣开出元宝","60","510","2014-11-11","s10","appstore"
"血战奖励","130","8063","2014-11-11","s10","appstore"
"财源滚滚得到元宝","1","409","2014-11-11","s10","appstore"
"首次充值奖励","2","1660","2014-11-11","s10","appstore"
"首次充值奖励翻倍","3","14955","2014-11-11","s10","appstore"
"cdkey","1","300","2014-11-11","s100","appstore"
"充值奖励","2","42","2014-11-11","s100","appstore"
"八阵图奖励","1","30","2014-11-11","s100","appstore"
"升级奖励","7","110","2014-11-11","s100","appstore"
"升级活动奖励","1","100","2014-11-11","s100","appstore"
"名山寻宝","1","30","2014-11-11","s100","appstore"
"小宝赠宝获取奖励","42","875","2014-11-11","s100","appstore"
"每日登录送元宝","18","90","2014-11-11","s100","appstore"
"献花奖励","107","535","2014-11-11","s100","appstore"
"签到累计奖励","1","100","2014-11-11","s100","appstore"
"系统消息附带的奖励","118","20885","2014-11-11","s100","appstore"
"紫禁宝匣开出元宝","28","235","2014-11-11","s100","appstore"
"血战奖励","93","3782","2014-11-11","s100","appstore"
"首次充值奖励","3","1650","2014-11-11","s100","appstore"
"首次充值奖励翻倍","3","14690","2014-11-11","s100","appstore"
"cdkey","2","400","2014-11-11","s101","appstore"
"充值奖励","3","5011","2014-11-11","s101","appstore"
"升级奖励","1","40","2014-11-11","s101","appstore"
"名山寻宝","2","20","2014-11-11","s101","appstore"
"小宝赠宝获取奖励","35","760","2014-11-11","s101","appstore"
"每日登录送元宝","4","20","2014-11-11","s101","appstore"
"献花奖励","63","315","2014-11-11","s101","appstore"
"系统消息附带的奖励","105","17985","2014-11-11","s101","appstore"
"紫禁宝匣开出元宝","29","390","2014-11-11","s101","appstore"
"血战奖励","73","3688","2014-11-11","s101","appstore"
"充值奖励","4","1803","2014-11-11","s102","appstore"
"升级奖励","8","130","2014-11-11","s102","appstore"
"升级活动奖励","2","600","2014-11-11","s102","appstore"
"名山寻宝","2","310","2014-11-11","s102","appstore"
"小宝赠宝获取奖励","26","630","2014-11-11","s102","appstore"
"每日登录送元宝","6","30","2014-11-11","s102","appstore"
"献花奖励","50","250","2014-11-11","s102","appstore"
"系统消息附带的奖励","74","13730","2014-11-11","s102","appstore"
"紫禁宝匣开出元宝","21","255","2014-11-11","s102","appstore"
"血战奖励","63","2836","2014-11-11","s102","appstore"
"首次充值奖励","2","38","2014-11-11","s102","appstore"
"首次充值奖励翻倍","2","398","2014-11-11","s102","appstore"
"八阵图奖励","2","20","2014-11-11","s103","appstore"
"升级奖励","17","330","2014-11-11","s103","appstore"
"升级活动奖励","5","1160","2014-11-11","s103","appstore"
"名山寻宝","2","20","2014-11-11","s103","appstore"
"小宝赠宝获取奖励","31","800","2014-11-11","s103","appstore"
"每日登录送元宝","11","55","2014-11-11","s103","appstore"
"献花奖励","56","280","2014-11-11","s103","appstore"
"系统消息附带的奖励","91","17205","2014-11-11","s103","appstore"
"紫禁宝匣开出元宝","21","250","2014-11-11","s103","appstore"
"血战奖励","56","2272","2014-11-11","s103","appstore"
"财源滚滚得到元宝","2","430","2014-11-11","s103","appstore"
"首次充值奖励","1","7","2014-11-11","s103","appstore"
"首次充值奖励翻倍","1","67","2014-11-11","s103","appstore"
"充值奖励","1","35","2014-11-11","s104","appstore"
"升级奖励","3","30","2014-11-11","s104","appstore"
"升级活动奖励","2","1390","2014-11-11","s104","appstore"
"名山寻宝","1","70","2014-11-11","s104","appstore"
"小宝赠宝获取奖励","40","1030","2014-11-11","s104","appstore"
"每日登录送元宝","13","65","2014-11-11","s104","appstore"
"献花奖励","52","260","2014-11-11","s104","appstore"
"系统消息附带的奖励","93","16560","2014-11-11","s104","appstore"
"紫禁宝匣开出元宝","21","205","2014-11-11","s104","appstore"
"血战奖励","65","2785","2014-11-11","s104","appstore"
"首次充值奖励","4","2102","2014-11-11","s104","appstore"
"首次充值奖励翻倍","3","18310","2014-11-11","s104","appstore"
"八阵图奖励","2","90","2014-11-11","s105","appstore"
"升级奖励","4","40","2014-11-11","s105","appstore"
"名山寻宝","1","35","2014-11-11","s105","appstore"
"小宝赠宝获取奖励","27","520","2014-11-11","s105","appstore"
"每日登录送元宝","4","20","2014-11-11","s105","appstore"
"献花奖励","43","215","2014-11-11","s105","appstore"
"系统消息附带的奖励","74","14800","2014-11-11","s105","appstore"
"紫禁宝匣开出元宝","24","200","2014-11-11","s105","appstore"
"血战奖励","59","2434","2014-11-11","s105","appstore"
"首次充值奖励","1","830","2014-11-11","s105","appstore"
"首次充值奖励翻倍","1","7310","2014-11-11","s105","appstore"
"cdkey","1","300","2014-11-11","s106","appstore"
"充值奖励","2","558","2014-11-11","s106","appstore"
"八阵图奖励","1","10","2014-11-11","s106","appstore"
"升级奖励","6","130","2014-11-11","s106","appstore"
"名山寻宝","3","270","2014-11-11","s106","appstore"
"小宝赠宝获取奖励","28","650","2014-11-11","s106","appstore"
"每日登录送元宝","4","20","2014-11-11","s106","appstore"
"献花奖励","48","240","2014-11-11","s106","appstore"
"系统消息附带的奖励","74","14720","2014-11-11","s106","appstore"
"紫禁宝匣开出元宝","20","165","2014-11-11","s106","appstore"
"血战奖励","64","2675","2014-11-11","s106","appstore"
